InstructorID,FirstName,LastName,Age,Location,Gender,Phone,Salary,HiringDate,WorkingStatus
142,Ahmed,Anwar,41,Sohag,Female,2578229114,20493,20/02/2018,Onsite
26,Imran,Hashem,32,Minya,Female,7199115493,23206,06/01/2010,Remote
21,Wael,Fahmy,26,Kafr El Sheikh,Male,8679931908,19479,07/12/2014,Onsite
175,Luay,Nassar,39,New Valley (Al-Wadi Al-Gadid),Female,2598346440,12513,22/10/2018,Remote
168,Asma,Helmy,37,Monufia,Female,2019728210,10600,07/04/2011,Remote
101,Hanan,Abdel Nasser,23,Qalyubia,Female,4494488300,28787,07/12/2012,Onsite
191,Mayada,Said,48,Ismailia,Male,6952005607,22011,08/02/2023,Onsite
121,Reem,Khattab,28,Monufia,Male,2291296203,25994,20/08/2017,Remote
143,Jibril,Farid,28,Qalyubia,Female,4623242809,13595,26/02/2019,Onsite
77,Noor,Abdel Aziz,23,Gharbia,Male,4286644895,26950,24/06/2019,Remote
45,Nabil,Metwally,28,New Valley (Al-Wadi Al-Gadid),Female,5128115462,20053,16/02/2014,Onsite
203,Hasan,Haggag,46,Red Sea,Male,5968481246,29259,29/01/2018,Onsite
175,Nadine,Badawi,27,Alexandria,Female,6073125000,17055,15/10/2015,Onsite
49,Mustafa,Marzouk,41,Kafr El Sheikh,Female,8659814934,16219,26/05/2022,Onsite
79,Asma,Hafez,26,Minya,Male,7998924956,11262,19/12/2015,Remote
104,Nada,Abou El Fadl,47,Qena,Male,8862656017,11523,17/06/2022,Onsite
206,Salah,Naguib,44,Alexandria,Male,8026311402,13150,11/05/2018,Onsite
19,Jibril,Rizk,39,Ismailia,Female,6932641576,16069,16/07/2010,Onsite
29,Adel,Farid,48,Aswan,Male,6567109130,21746,17/10/2022,Onsite
201,Nizar,Badawi,44,New Valley (Al-Wadi Al-Gadid),Female,3139790076,28311,31/10/2016,Onsite
64,Anwar,Farid,39,New Valley (Al-Wadi Al-Gadid),Male,6052523226,25626,04/06/2019,Onsite
120,Bader,Abdel Rahman,25,Port Said,Female,2511416927,26370,04/02/2017,Onsite
73,Nawal,Fathi,47,New Valley (Al-Wadi Al-Gadid),Female,1205341968,27976,10/09/2021,Onsite
31,Luay,Youssef,36,Sharqia,Female,4595180207,10307,29/09/2014,Remote
202,Hanan,Metwally,32,Gharbia,Female,6943709800,23729,16/09/2014,Onsite
19,Faisal,Awad,35,Suez,Female,1009796989,26191,30/08/2023,Onsite
181,Kareem,Magdy,23,Alexandria,Female,2367113137,10942,30/12/2016,Remote
118,Imran,El Masry,30,Red Sea,Male,9359360562,21882,09/01/2013,Onsite
